horas_pantalla_diaria,frecuencia_doomscrolling,revisiones_notificaciones_dia,exposicion_recomendaciones_ia,intentos_desintoxicacion,grupo_edad_enc,genero_enc,plataforma_enc,pais_enc,perdida_productividad_pct
0.72,1.83,347,28.69,7,1,0,2,4,16.22
0.57,2.4,108,24.41,11,2,0,3,1,67.59
7.86,4.51,19,95.31,7,3,2,1,1,20.38
10.82,7.08,10,29.17,14,4,2,4,0,66.01
7.84,5.17,154,58.69,5,3,1,2,3,20.16
3.78,3.34,99,70.38,6,1,1,2,1,34.21
0.58,6.88,263,77.51,4,0,0,0,1,10.47
11.6,8.46,229,24.37,11,2,1,2,2,68.1
2.74,7.75,244,76.64,14,3,1,1,0,53.31
11.98,4.1,199,48.41,13,4,1,2,3,49.8
11.2,8.77,264,96.78,2,3,1,0,3,13.23
0.76,3.33,248,4.74,10,2,2,3,2,50.3
9.5,5.25,50,15.05,10,2,1,4,0,68.71
0.64,7.48,266,63.19,12,4,2,3,4,54.85
6.19,5.95,324,30.68,4,0,2,3,2,37.32
5.08,2.97,240,68.43,14,1,1,0,3,0.92
10.52,2.62,120,34.63,2,1,0,4,4,64.86
11.81,9.49,116,81.12,8,2,0,1,1,65.07
2.1,5.44,148,50.34,3,4,1,4,0,51.33
4.66,9.31,179,67.81,5,3,1,3,1,13.05
11.85,2.61,133,94.51,9,3,1,0,1,56.43
2.62,4.28,180,12.41,8,4,1,1,0,49.53
6.99,0.05,282,41.46,13,3,0,1,1,16.27
12.11,7.26,155,62.88,7,2,2,1,1,9.52
1.74,6.05,79,92.39,0,3,0,1,2,41.09
4.98,0.93,268,24.04,10,3,2,3,3,3.74
11.86,5.68,206,57.16,7,4,0,0,3,20.82
2.92,4.87,237,10.48,6,4,1,1,1,19.75
0.93,4.7,256,46.51,12,3,2,1,4,20.66
2.21,3.86,247,26.77,3,3,2,2,1,64.66
11.7,8.66,134,33.94,8,3,2,1,0,29.46
9.9,2.69,229,89.24,3,0,0,0,4,1.36
2.68,4.93,290,73.87,3,2,1,2,0,60.15
2.85,8.61,150,17.01,3,1,2,4,2,8.86
6.17,8.35,181,22.46,3,1,1,3,4,66.6
12.96,6.99,232,46.9,5,2,0,2,2,4.44
9.94,3.98,172,16.93,2,0,2,4,2,32.4
12.6,4.27,127,57.38,6,1,1,4,2,66.48
4.79,9.21,12,24.16,10,0,1,1,2,17.14
12.35,5.56,313,85.26,9,4,2,0,0,56.89
3.59,2.31,55,43.12,12,4,2,0,2,34.77
2.71,2.47,303,97.38,5,2,0,1,2,21.41
1.53,9.6,342,42.51,10,3,2,2,1,17.06
4.66,1.69,216,52.93,7,0,0,2,0,30.26
2.0,8.68,58,12.79,3,3,0,1,3,60.54
8.31,8.11,235,32.83,1,0,1,1,0,35.15
10.61,6.19,207,5.5,1,4,0,2,0,19.54
0.54,5.1,227,83.25,9,0,1,3,4,57.79
8.38,4.83,96,8.79,0,4,2,4,4,34.85
6.84,9.22,220,51.47,7,4,0,2,4,45.89
5.81,3.32,348,68.76,1,3,1,2,4,6.41
7.31,3.18,212,53.02,14,4,0,3,4,49.1
0.68,2.11,321,80.95,8,2,2,2,1,39.59
8.22,0.85,71,49.77,7,4,2,4,4,55.4
0.81,7.42,312,41.51,14,2,0,2,1,19.7
7.26,7.6,27,71.5,13,0,0,1,4,19.56
5.13,8.15,332,49.66,9,0,0,3,4,54.84
3.27,4.36,297,44.23,7,1,1,0,1,14.94
6.61,9.12,276,76.87,14,4,0,2,1,62.31
9.32,5.6,62,73.61,12,0,1,3,4,60.16
6.02,5.16,249,60.1,9,2,1,4,1,20.22
2.83,9.87,199,81.87,9,1,1,1,4,32.16
4.15,0.93,135,11.71,14,0,2,4,3,63.95
11.95,7.82,236,69.55,4,0,2,4,0,6.31
6.37,4.55,109,53.87,11,4,1,3,3,31.25
12.61,7.46,19,95.22,14,4,0,0,1,29.07
3.05,1.06,303,17.33,10,1,2,2,2,41.44
5.61,7.59,206,90.34,11,0,2,1,3,12.5
0.9,7.38,267,86.54,12,4,1,1,4,67.11
12.39,6.18,36,89.15,6,3,0,2,0,24.69
11.66,5.02,206,59.88,0,0,0,0,3,0.27
7.12,2.78,285,43.39,6,2,0,2,3,48.21
5.82,9.21,88,97.76,0,3,0,4,0,52.91
1.43,8.88,267,77.42,9,1,0,4,1,34.63
12.55,6.18,167,93.69,10,4,2,4,4,27.59
7.91,8.68,182,15.42,1,1,0,4,3,19.95
2.31,4.77,185,22.12,2,3,0,3,4,61.18
5.49,9.3,221,40.69,8,4,1,0,0,20.09
1.91,1.28,32,91.95,10,4,0,2,1,38.58
12.07,0.52,99,49.06,4,2,1,4,4,62.26
2.52,8.4,100,82.36,2,2,2,1,2,9.19
0.58,8.8,148,44.45,8,1,2,3,2,66.96
1.44,5.01,167,93.94,13,2,2,1,4,24.42
11.48,7.66,79,30.06,5,1,1,2,1,41.5
4.72,2.62,264,36.83,5,2,2,2,4,26.48
0.74,2.14,349,94.4,0,4,2,4,1,32.69
8.77,1.05,200,51.52,4,3,1,2,1,2.96
12.76,3.46,336,67.41,4,0,2,4,2,12.27
5.21,9.68,74,22.22,13,4,2,3,0,64.15
13.06,4.51,27,32.39,5,1,2,2,3,19.98
11.39,7.36,172,76.42,3,3,1,4,1,15.59
10.91,7.07,262,42.76,13,3,0,4,0,13.01
2.71,9.11,186,10.98,7,1,0,2,4,31.06
5.39,10.0,9,53.86,10,2,2,4,0,1.33
9.26,0.88,124,31.1,2,2,2,3,0,50.88
9.39,1.86,336,63.49,5,3,0,2,3,38.75
3.72,5.06,180,10.03,5,3,2,1,1,29.56
11.47,5.72,248,5.65,8,1,0,2,3,9.58
3.17,1.86,300,31.3,6,0,0,2,1,23.25
10.27,3.54,68,35.38,1,4,2,0,0,1.99
6.69,6.28,109,67.75,5,3,2,1,3,51.05
11.25,5.93,287,87.6,9,4,1,0,4,37.83
9.95,2.23,214,39.8,14,0,0,4,4,13.01
4.99,0.66,149,37.24,9,4,0,1,2,54.86
12.62,2.39,334,96.13,13,4,0,0,1,1.24
8.71,5.26,71,54.2,3,0,1,4,0,60.24
8.98,6.55,243,24.91,3,0,0,0,0,51.28
7.16,4.56,101,19.74,7,2,1,4,2,29.68
2.18,5.94,59,59.13,11,1,0,2,1,35.42
1.46,9.1,266,76.81,2,3,0,3,1,23.75
0.9,2.11,278,72.65,13,4,2,2,1,19.61
8.52,7.83,69,72.79,6,4,2,0,0,65.97
2.5,5.86,296,2.9,12,2,1,3,4,43.75
3.66,4.09,182,9.16,8,3,2,0,0,33.5
12.14,2.17,131,47.7,10,3,1,0,1,39.52
2.49,8.04,218,28.17,14,3,0,2,1,23.89
10.08,0.68,246,8.03,8,0,0,4,2,11.76
7.54,9.29,26,48.87,0,2,2,2,2,17.64
5.88,9.95,176,61.51,4,2,1,2,3,40.81
1.39,1.99,206,30.22,9,0,0,3,2,36.79
10.74,8.16,34,3.67,1,0,1,2,4,64.79
3.42,5.96,242,70.94,3,4,1,2,2,59.43
3.75,7.57,137,75.11,12,0,0,3,0,11.53
2.57,4.24,102,25.56,7,2,0,4,1,62.01
7.57,2.01,253,44.52,6,3,1,3,4,4.94
3.09,6.17,73,49.83,3,1,0,1,1,60.47
3.73,2.51,228,78.19,3,2,0,0,3,64.51
10.78,0.85,17,16.53,7,4,0,3,0,30.91
1.77,7.57,202,71.41,11,1,1,2,2,43.97
10.4,3.59,116,8.16,12,1,0,0,2,43.71
1.96,9.0,232,64.34,1,1,2,4,1,55.23
5.64,6.48,135,57.68,7,4,1,4,3,27.71
2.38,4.86,88,88.59,8,4,1,0,2,51.29
0.61,1.44,36,75.64,10,3,0,1,3,63.23
9.96,1.15,155,71.19,1,3,1,0,2,38.53
2.86,2.07,306,54.55,2,3,1,3,3,35.8
2.28,8.66,218,85.12,10,1,0,0,2,60.63
2.11,0.56,199,80.56,7,2,1,3,3,19.44
7.83,7.85,229,91.57,3,4,1,4,0,7.59
5.81,3.36,305,38.82,5,4,2,4,0,21.81
4.39,1.51,208,23.35,0,2,1,0,4,5.66
10.61,1.98,255,53.48,5,2,2,4,0,24.3
4.0,3.64,84,92.83,2,0,0,3,0,32.31
12.79,3.1,19,73.93,1,0,1,0,0,23.19
5.18,3.02,149,31.72,11,0,1,4,4,55.3
12.56,0.85,285,55.31,11,3,1,1,3,67.08
4.46,5.09,259,44.73,5,2,0,3,0,48.34
5.17,9.23,304,64.8,4,2,2,3,0,16.54
5.66,9.31,121,33.43,13,1,2,2,0,2.53
3.6,7.78,299,23.8,14,1,1,4,2,19.97
13.29,6.87,251,66.74,10,1,0,4,4,38.58
8.07,0.59,166,76.29,3,3,1,3,4,18.34
10.78,6.72,236,23.2,7,3,1,4,2,14.44
11.4,9.75,19,17.83,10,1,0,0,1,55.11
5.57,3.0,347,6.29,7,2,0,2,1,16.02
11.12,4.03,51,65.43,3,4,1,0,4,1.07
2.2,9.53,22,49.44,2,4,0,1,0,3.13
10.09,1.48,42,14.04,5,2,0,1,0,8.2
6.97,7.14,282,97.61,4,0,2,4,0,41.1
2.95,6.62,219,52.46,8,4,2,2,4,9.37
3.56,9.64,111,13.74,11,4,2,2,3,36.13
9.79,3.62,172,55.36,11,0,2,3,3,0.94
6.41,3.4,104,9.98,10,1,1,0,0,42.43
12.55,9.09,13,60.82,3,4,0,1,3,59.85
4.91,1.71,84,44.2,0,2,0,3,2,33.14
5.72,1.42,306,26.92,7,0,0,2,4,47.06
4.89,3.97,98,83.64,1,2,0,3,3,49.71
12.1,4.22,224,85.53,2,1,1,3,2,60.63
3.7,4.25,158,82.96,8,3,1,1,2,37.68
9.61,1.92,177,81.8,2,0,0,2,2,5.09
7.88,0.19,23,65.02,14,2,2,2,1,47.39
12.19,2.85,247,75.5,8,0,0,2,0,35.18
1.02,4.51,97,15.77,1,1,1,1,0,34.72
11.88,3.76,296,89.73,13,4,1,1,4,62.67
6.2,3.16,189,25.11,5,3,1,3,4,21.5
3.02,4.38,202,46.83,8,3,1,4,1,67.22
4.02,7.01,310,15.51,2,3,1,4,3,50.21
8.7,0.95,92,96.88,11,0,0,4,3,58.13
8.46,5.47,28,16.62,4,4,2,4,1,23.04
8.4,4.93,49,45.6,3,0,1,4,1,49.12
4.29,1.21,316,77.11,1,1,1,1,4,29.7
7.27,1.99,167,62.27,5,0,1,1,3,31.16
4.83,1.97,131,0.02,9,4,1,0,4,54.46
8.13,3.42,347,3.53,0,0,2,3,4,52.65
12.66,0.34,197,78.86,0,3,1,1,0,21.35
9.74,2.67,97,21.76,11,4,0,4,4,5.26
5.57,6.67,338,38.01,4,4,2,1,4,32.53
1.33,6.55,178,24.58,2,1,2,3,2,36.27
10.49,3.57,238,71.06,4,1,2,2,1,40.0
13.02,6.04,187,17.55,10,3,1,0,4,5.07
8.91,7.57,225,65.25,2,4,1,2,3,12.03
12.32,1.98,119,99.94,1,2,0,2,1,37.36
10.33,3.52,269,99.79,2,2,1,1,0,28.83
13.24,8.21,137,39.69,8,0,2,4,2,5.02
12.61,3.35,336,21.05,7,2,2,0,1,33.64
6.62,1.04,280,65.55,11,2,2,3,3,43.54
3.36,2.25,146,37.88,0,0,2,3,0,32.13
12.47,9.91,94,9.53,5,2,0,3,3,40.38
3.54,4.78,264,9.26,12,2,2,3,3,12.46
0.87,7.23,305,0.8,1,3,0,3,3,39.9
5.68,5.65,306,46.16,14,3,0,1,4,49.58
7.22,3.57,150,4.32,11,0,0,3,1,3.32
7.05,3.71,132,35.24,12,0,1,3,2,9.98
10.53,9.11,150,81.66,0,0,2,2,2,21.87
13.16,6.33,62,4.99,5,2,2,4,2,57.42
12.97,3.63,289,72.48,1,0,1,2,2,10.31
7.84,9.67,323,40.7,14,2,1,1,2,68.47
5.86,0.15,204,13.58,5,2,0,2,2,60.69
1.9,7.57,313,61.72,9,3,1,4,1,59.47
2.6,7.1,153,76.15,3,1,0,3,3,50.92
0.57,8.09,246,33.65,3,1,2,3,1,42.94
2.1,8.79,258,47.67,8,3,2,0,4,50.15
1.86,2.56,283,34.36,5,2,0,0,4,28.05
11.27,9.85,81,80.05,0,1,1,1,3,55.92
11.08,5.46,11,3.88,5,0,0,0,3,36.52
11.2,8.73,227,26.01,4,1,2,3,1,22.35
9.41,4.24,195,78.93,10,3,2,2,2,56.47
9.6,2.62,329,3.6,9,0,2,1,1,57.82
7.73,1.35,191,60.31,12,0,0,3,4,28.06
3.54,8.45,51,66.45,14,4,1,4,3,11.05
10.73,5.29,222,71.73,2,3,0,3,0,20.85
9.57,3.72,71,50.84,9,4,0,2,0,4.92
11.94,9.7,273,68.76,1,0,2,3,3,59.29
1.51,3.91,331,67.17,8,0,1,4,3,12.62
10.96,5.82,288,24.77,4,0,1,4,4,35.24
12.24,2.69,46,52.04,14,3,0,3,1,44.0
2.39,3.46,107,95.15,2,2,2,4,4,41.89
1.07,7.09,43,32.01,1,0,2,2,4,9.8
10.7,9.87,127,23.52,1,1,1,4,2,44.9
10.44,4.54,235,65.59,9,0,0,3,1,34.87
9.86,5.02,311,84.37,1,4,2,0,0,30.85
0.95,6.64,231,27.73,10,2,2,2,3,62.79
4.44,6.21,195,80.49,6,2,0,1,3,11.87
6.97,1.74,155,33.65,11,2,0,1,4,65.54
3.5,1.18,220,92.49,8,0,0,0,3,21.37
11.8,7.97,85,41.08,4,2,1,0,2,0.85
4.86,6.95,281,84.09,10,0,2,2,2,9.57
11.35,7.07,72,36.19,14,3,1,3,0,44.52
1.25,1.83,130,15.6,4,1,1,4,1,47.99
11.57,5.81,282,76.49,14,4,2,0,0,8.22
4.19,4.59,342,63.2,5,1,2,4,1,62.7
11.57,0.66,35,61.78,5,2,2,1,4,15.42
9.04,8.53,235,27.92,6,4,2,4,0,9.37
6.26,6.1,177,83.01,9,1,2,2,4,6.28
2.45,7.49,259,27.81,12,4,1,1,0,5.64
11.98,5.79,162,86.04,10,0,1,1,1,62.95
11.8,8.57,204,89.64,3,4,0,3,3,2.49
12.6,1.88,270,66.32,7,0,0,2,3,44.04
12.24,5.45,62,77.8,0,3,1,3,0,2.52
11.7,7.92,173,57.14,11,4,1,4,3,14.05
3.95,2.23,307,38.94,4,1,1,0,4,21.19
4.35,2.65,175,48.79,9,1,1,1,0,31.59
7.24,4.41,243,6.8,9,3,1,2,0,63.53
6.91,8.17,282,71.06,1,4,1,3,3,58.8
11.44,3.25,91,38.4,10,4,2,4,4,35.88
0.53,3.55,104,88.64,11,2,2,1,1,27.71
4.77,8.68,16,84.97,11,3,2,1,2,27.52
9.91,4.79,199,32.71,11,2,1,3,1,5.55
4.51,8.09,146,69.58,9,4,1,1,3,26.38
11.13,3.89,310,92.6,2,1,1,0,4,23.59
9.93,9.16,152,46.82,10,1,0,2,1,54.88
10.64,8.55,135,52.29,13,4,1,0,1,8.18
7.43,5.79,332,32.85,11,0,1,2,2,62.47
3.11,8.61,101,90.91,9,1,0,0,0,42.61
11.55,7.4,44,39.44,3,0,2,0,1,46.27
10.15,1.58,85,41.67,5,0,0,3,2,36.4
4.86,5.67,62,2.98,12,4,2,2,1,17.92
0.71,0.76,5,73.69,10,0,2,2,4,42.32
5.31,9.34,238,79.37,9,4,0,2,4,1.69
11.43,9.9,187,94.99,1,0,0,4,0,63.93
11.54,8.74,200,26.99,14,2,2,1,2,52.99
13.14,6.47,16,24.94,6,1,2,2,1,10.48
7.73,6.48,297,63.6,12,0,1,2,3,11.04
0.99,0.87,141,9.69,2,3,1,4,3,45.54
3.26,5.08,100,72.53,4,0,1,4,2,46.99
8.85,2.2,26,69.46,6,4,2,1,4,55.51
5.26,9.98,213,18.74,6,1,0,3,0,30.94
8.39,4.47,44,16.18,12,2,2,0,2,51.25
3.72,9.8,70,92.29,14,4,2,0,1,23.13
11.96,9.46,201,31.35,9,4,0,4,3,1.73
8.96,3.34,29,69.61,9,4,1,2,2,4.34
6.94,5.62,32,34.41,1,3,0,1,0,67.41
7.41,4.7,322,76.23,2,4,0,3,2,50.55
11.48,7.04,216,73.75,7,0,1,2,2,33.05
10.63,6.99,92,14.88,8,3,1,4,1,20.5
6.0,0.33,304,35.69,8,2,1,2,0,47.31
9.47,6.47,18,17.3,1,0,1,0,3,13.38
9.89,3.98,197,46.2,1,2,2,0,4,31.7
9.09,8.0,164,74.24,9,4,2,3,2,10.43
11.07,8.69,142,15.58,1,2,2,3,2,63.96
13.41,2.65,150,65.29,13,1,0,2,4,19.56
1.62,6.98,90,14.97,13,3,0,0,0,8.04
4.39,0.7,321,9.46,6,2,2,2,2,56.1
8.94,3.72,189,84.27,12,4,1,0,1,66.44
11.84,8.8,218,81.97,8,0,0,1,0,34.68
9.33,5.81,106,76.26,14,4,2,4,3,5.59
3.6,4.59,302,42.44,6,1,0,1,3,21.7
11.77,9.69,319,30.35,10,0,2,1,4,16.59
7.07,0.53,57,34.29,1,4,0,4,0,40.79
8.44,4.98,280,85.5,5,0,1,1,2,19.54
11.43,0.86,183,0.07,9,1,0,1,4,48.03
5.42,9.51,114,45.05,14,0,1,3,1,38.59
6.89,7.41,220,67.81,10,2,0,3,1,68.76
3.97,3.04,305,1.96,11,3,2,1,3,41.52
3.98,1.24,260,20.27,6,2,2,3,0,49.45
12.07,6.16,47,31.71,3,4,0,0,3,44.81
4.96,2.09,320,92.38,8,2,1,2,2,47.01
8.11,6.24,202,59.9,14,2,2,3,0,63.22
5.23,7.2,163,57.55,6,1,1,2,3,3.15
7.34,8.03,132,51.0,9,3,0,1,2,59.75
10.07,7.83,154,69.38,13,1,1,2,1,35.13
10.96,6.6,198,65.73,13,3,2,0,0,54.27
2.88,5.65,60,80.21,9,0,1,3,3,2.08
3.11,2.16,39,22.03,14,0,0,3,2,42.26
3.75,6.29,200,50.84,9,0,0,2,4,36.35
1.87,6.64,214,54.33,12,2,0,3,1,64.36
11.03,0.74,168,38.83,9,3,0,2,0,55.98
9.1,0.29,345,79.86,1,2,1,2,0,6.85
6.13,7.95,99,55.63,5,0,1,1,0,25.24
10.49,0.99,169,56.82,0,2,2,2,3,62.59
3.18,8.83,191,63.45,2,0,1,0,2,46.24
12.87,7.87,160,18.1,3,3,2,4,0,25.39
1.94,7.49,323,15.93,9,1,1,0,2,3.43
12.11,2.53,77,2.04,6,1,2,2,3,30.31
12.44,9.98,316,93.24,12,2,0,2,4,15.78
9.3,9.89,273,54.04,6,2,1,2,3,45.22
1.56,6.55,37,98.28,1,4,1,3,2,32.59
9.57,8.43,90,5.39,8,1,1,1,4,46.81
4.44,1.0,266,61.35,14,3,1,3,0,43.22
4.14,5.16,199,12.34,8,0,2,1,2,11.98
4.2,3.51,206,9.67,9,1,0,3,3,59.09
4.02,1.57,242,1.85,9,3,0,0,3,51.8
3.61,5.75,193,76.39,7,4,0,3,0,54.16
12.93,9.33,82,65.08,10,1,2,4,1,52.57
11.83,3.3,184,80.38,0,2,0,1,4,5.89
0.76,9.99,46,48.06,8,3,1,1,3,18.4
7.92,1.68,5,17.53,3,0,0,2,0,58.02
9.26,4.78,204,11.01,12,4,1,3,2,68.92
7.41,5.2,244,93.32,5,2,1,3,0,58.56
0.93,9.58,207,74.02,7,1,1,0,4,37.31
9.43,8.51,221,39.15,1,3,2,3,0,35.09
7.37,5.03,116,77.19,14,4,1,0,3,56.51
3.68,8.3,277,0.14,7,2,1,2,3,21.34
6.42,7.84,66,54.58,13,0,0,4,0,58.06
1.34,9.19,34,6.62,5,4,0,2,2,7.49
6.48,2.56,299,2.92,8,4,2,2,0,11.25
3.23,8.47,164,22.46,2,2,2,3,1,5.91
4.25,1.66,164,5.39,9,4,1,3,1,62.18
4.02,6.55,172,44.0,4,3,0,3,0,37.99
12.96,6.93,94,20.1,10,4,0,1,2,33.54
6.01,2.76,206,75.08,10,4,1,1,4,54.93
9.63,4.15,330,97.52,2,0,2,0,2,41.31
8.47,3.97,130,54.74,2,4,2,2,2,55.76
13.38,6.87,325,1.41,0,4,1,1,3,51.97
8.22,4.45,247,12.16,7,1,1,0,1,13.57
11.39,6.23,297,69.08,4,1,0,3,1,48.39
4.07,5.88,90,80.33,2,3,2,1,1,22.83
3.93,4.04,35,46.9,2,4,2,0,1,42.45
9.49,7.3,139,90.75,4,2,0,1,0,62.88
7.21,5.32,283,43.1,10,4,0,4,1,18.97
6.18,8.98,325,18.57,11,0,2,3,2,23.58
1.12,9.05,192,42.73,14,2,0,0,0,57.17
2.79,9.13,246,41.85,13,4,0,0,0,46.71
10.11,5.63,237,39.06,4,1,2,2,4,5.13
3.64,6.71,332,4.73,7,2,0,3,0,68.25
5.42,2.33,166,78.22,9,3,0,3,4,24.56
7.97,5.71,228,15.56,3,0,1,2,4,64.52
9.92,7.23,348,74.64,3,1,0,2,4,8.14
8.17,0.89,150,34.34,11,2,2,4,0,16.4
6.41,7.98,315,3.22,6,0,0,1,1,54.89
3.78,8.81,94,85.68,2,2,1,4,4,54.61
7.94,7.47,152,77.11,7,2,2,1,3,65.76
10.68,2.81,75,3.04,14,1,1,0,3,17.62
11.01,7.36,113,68.78,2,2,2,2,0,20.87
1.29,2.03,180,67.05,0,2,2,2,4,15.36
9.72,6.97,94,25.8,14,2,1,1,3,26.71
4.39,9.66,99,24.25,10,3,0,0,0,26.64
5.64,3.96,36,5.31,10,0,0,4,2,58.65
10.86,3.03,219,36.43,14,4,1,0,0,30.46
9.35,6.94,83,58.83,13,0,0,0,0,43.34
7.59,6.35,209,88.05,7,4,0,4,0,64.98
11.83,0.91,326,98.41,14,2,0,0,1,24.14
12.14,5.14,106,79.51,9,3,2,0,1,30.05
11.26,4.37,238,87.67,4,3,0,4,3,45.34
4.89,2.88,104,53.44,11,0,2,3,4,69.38
6.25,1.97,317,64.79,7,4,0,3,2,43.74
2.42,9.8,59,67.61,9,2,0,4,1,13.87
